date,inst,vlmbase,varbase,volume,variance
7/3/2015,EMD,15169.51069,11762.72748,15177.8899,11927.89138
7/3/2015,ES,1292136.264,7915.027616,1293685.497,8118.294207
7/3/2015,GC,104491.8207,12681.54942,104491.8207,12781.43427
7/3/2015,GE,1013368.745,261.4662557,1019268.397,264.819023
7/3/2015,GF,5881.050876,5055.236765,5881.050876,5055.236765
7/3/2015,HE,20477.69459,1670.344968,20477.69459,1670.344968
7/3/2015,HG,42291.79117,6303.031804,42560.78686,6371.135818
7/3/2015,HO,44831.46566,110874.3254,44831.46566,110874.3254
7/3/2015,KE,14766.39658,1973.492331,14808.4192,1974.901962
7/3/2015,LE,27751.06463,2075.552789,27751.06463,2075.552789
7/3/2015,NG,115966.2072,5873.673959,115966.2072,5873.673959
7/3/2015,NQ,201186.4627,29689.74199,202252.6032,30157.73604
7/3/2015,PA,3356.554164,37281.83703,3448.435011,38586.07723
7/3/2015,PL,9591.535666,14003.62899,9591.535666,14012.43786
7/3/2015,RB,42333.14552,119914.6783,42333.14552,119914.6783
7/3/2015,SI,34279.06005,4236.326476,34577.23208,4284.111605
7/3/2015,UB,74646.84553,4452.926136,75237.01967,4558.221991
7/3/2015,YM,131087.984,23213.4941,131884.5924,23724.70191
7/3/2015,ZB,218020.3874,3356.129502,218529.9613,3405.909724
7/3/2015,ZC,196011.2535,945.9380077,196011.2535,945.9380077
7/3/2015,ZF,530469.4691,2425.308227,535214.9035,2457.630882
7/3/2015,ZL,60891.16925,2633.718911,61919.76196,2689.184375
7/3/2015,ZM,55160.86702,3030.158494,55331.47822,3035.569819
7/3/2015,ZN,1041540.153,1954.589993,1049396.002,1996.613947
7/3/2015,ZS,131739.0873,3108.124491,132171.7056,3130.783149
7/3/2015,ZT,219471.6816,148.2969781,221239.0587,150.9339203
7/3/2015,ZW,77775.14531,2644.640804,77870.14791,2649.565821
7/4/2015,6A,74976.06922,7754.269973,74976.06922,7754.269973
7/4/2015,6B,81767.12761,12039.60579,81767.12761,12039.60579
7/4/2015,6C,55562.25586,4676.778709,55562.25586,4676.778709
7/4/2015,6E,228013.936,15819.84891,228013.936,15819.84891
7/4/2015,6J,110139.915,5030.812049,110139.915,5030.812049
7/4/2015,6M,29735.55836,2610.206837,29735.55836,2610.206837
7/4/2015,6N,16344.1332,4642.499421,16344.1332,4642.499421
7/4/2015,6S,18708.73099,9629.632124,18708.73099,9629.632124
7/4/2015,CL,295089.76,23146.91977,295089.76,23146.91977
7/4/2015,EMD,15191.30317,11736.42355,15191.30317,11736.42355
7/4/2015,ES,1289623.458,7893.387742,1289623.458,7893.387742
7/4/2015,GC,104491.4103,12602.64333,104491.4103,12602.64333
7/4/2015,GE,1011475.088,259.5997473,1011475.088,259.5997473
7/4/2015,GF,6012.621429,5339.79189,6012.621429,5339.79189
7/4/2015,HE,21146.12131,1775.330108,21146.12131,1775.330108
7/4/2015,HG,41961.29746,6255.161059,41961.29746,6255.161059
7/4/2015,HO,44745.19409,109958.869,44745.19409,109958.869
7/4/2015,KE,14690.84003,2002.306555,14690.84003,2002.306555
7/4/2015,LE,28328.42719,2147.259555,28328.42719,2147.259555
7/4/2015,NG,116007.5663,5865.525729,116007.5663,5865.525729
7/4/2015,NQ,200002.8032,29520.9823,200002.8032,29520.9823
7/4/2015,PA,3380.908995,37350.96171,3380.908995,37350.96171
7/4/2015,PL,9546.454787,13877.5943,9546.454787,13877.5943
7/4/2015,RB,42339.48656,118833.4065,42339.48656,118833.4065
7/4/2015,SI,34124.12891,4213.13131,34124.12891,4213.13131
7/4/2015,UB,74330.33568,4420.793667,74330.33568,4420.793667
7/4/2015,YM,130408.1625,23123.01959,130408.1625,23123.01959
7/4/2015,ZB,217018.987,3331.422893,217018.987,3331.422893
7/4/2015,ZC,197775.1943,967.0857282,197775.1943,967.0857282
7/4/2015,ZF,529179.4205,2405.311786,529179.4205,2405.311786
7/4/2015,ZL,60440.50958,2633.958125,60440.50958,2633.958125
7/4/2015,ZM,54808.71072,3052.678373,54808.71072,3052.678373
7/4/2015,ZN,1037780.562,1942.869895,1037780.562,1942.869895
7/4/2015,ZS,131359.732,3134.63404,131359.732,3134.63404
7/4/2015,ZT,219673.6344,147.5773278,219673.6344,147.5773278
7/4/2015,ZW,77863.30963,2684.484483,77863.30963,2684.484483
7/6/2015,6A,74098.77424,7687.114728,78474.12079,8041.285259
7/6/2015,6B,80026.64991,11844.67991,85023.40634,12724.42563
7/6/2015,6C,54600.7549,4606.364181,61091.80404,5445.610213
7/6/2015,6E,223128.5986,15561.25817,259271.8865,17479.8425
7/6/2015,6J,107900.9479,5016.450546,118233.3834,5304.353042
7/6/2015,6M,28957.26715,2553.258379,35103.10529,2827.122933
7/6/2015,6N,16065.19484,4582.74826,18409.18378,4885.93349
7/6/2015,6S,18295.3619,9430.636852,20671.29315,10743.59419
7/6/2015,CL,289810.3958,22784.37557,289810.3958,22784.37557
7/6/2015,EMD,14778.17415,11498.41849,16505.77545,12616.15538
7/6/2015,ES,1253307.006,7754.474346,1305409.065,8138.587051
7/6/2015,GC,102196.6472,12379.35316,111374.8291,13416.0439
7/6/2015,GE,985656.9382,255.8341634,1190235.854,285.8897012
7/6/2015,GF,5177.096774,4724.884705,6709.112475,5261.937518
7/6/2015,HE,18758.31432,1495.864728,21615.66025,1700.048382
7/6/2015,HG,41311.00669,6208.182325,41453.97418,6384.706255
7/6/2015,HO,43816.28897,108354.3436,43816.28897,108354.3436
7/6/2015,KE,14690.84003,2002.306555,14827.72766,2002.306555
7/6/2015,LE,24958.7763,1808.475516,31542.29619,2169.025654
7/6/2015,NG,113491.9687,5778.350034,113491.9687,5778.350034
7/6/2015,NQ,194470.751,28897.5494,204012.2134,30891.02217
7/6/2015,PA,3317.997285,37553.81379,3526.315992,42378.48212
7/6/2015,PL,9320.047276,13708.39208,9935.045417,14798.19351
7/6/2015,RB,41457.14208,117154.7646,41457.14208,117154.7646
7/6/2015,SI,33290.18579,4135.020867,37229.02469,4500.689739
7/6/2015,UB,72164.4768,4326.139134,80098.49461,4933.584635
7/6/2015,YM,127009.149,22682.03765,134045.3055,23734.01583
7/6/2015,ZB,210858.0279,3264.527225,237460.0795,3690.332199
7/6/2015,ZC,197775.1943,967.0857282,197775.1943,967.5459196
7/6/2015,ZF,514209.288,2363.611599,593462.8802,2707.015433
7/6/2015,ZL,60440.50958,2633.958125,61079.56174,2656.119598
7/6/2015,ZM,54808.71072,3052.678373,54808.71072,3060.648018
7/6/2015,ZN,1008121.742,1909.232371,1159958.942,2194.180731
7/6/2015,ZS,131359.732,3134.63404,131359.732,3149.852797
7/6/2015,ZT,213308.0692,144.9441959,249324.5714,170.7491608
7/6/2015,ZW,77863.30963,2684.484483,79678.22816,2684.484483
7/7/2015,6A,74098.77424,7687.114728,85927.11402,8157.914551
7/7/2015,6B,80026.64991,11844.67991,100985.0855,13845.92356
7/7/2015,6C,54600.7549,4606.364181,62633.27622,5252.642186
7/7/2015,6E,223128.5986,15561.25817,276322.0895,17185.88989
7/7/2015,6J,107900.9479,5016.450546,128260.053,5179.586406
7/7/2015,6M,28957.26715,2553.258379,32045.57206,2855.027629
7/7/2015,6N,16065.19484,4582.74826,19044.94955,4826.088937
7/7/2015,6S,18295.3619,9430.636852,20812.14065,9931.748329
7/7/2015,CL,289810.3958,22784.37557,289810.3958,22784.37557
7/7/2015,EMD,14778.17415,11498.41849,15311.29175,12085.27895
7/7/2015,ES,1253307.006,7754.474346,1339681.728,8284.524892
7/7/2015,GC,102196.6472,12379.35316,115347.949,13860.20109
7/7/2015,GE,985656.9382,255.8341634,1228893.468,283.62206
7/7/2015,GF,6012.621429,5339.79189,6027.318575,5339.79189
7/7/2015,HE,21146.12131,1775.330108,21835.06788,1787.673158
